country_name_fr,country_name_en,country_name_es,ISO 3
Afghanistan,Afghanistan,Afganistán,AFG
Afrique du Sud,South Africa,Sudáfrica,ZAF
Albanie,Albania,Albania,ALB
Algérie,Algeria,Argelia,DZA
Allemagne,Germany,Alemania,DEU
Andorre,Andorra,Andorra,AND
Angola,Angola,Angola,AGO
Arabie saoudite,Saudi Arabia,Arabia Saudita,SAU
Argentine,Argentina,Argentina,ARG
Arménie,Armenia,Armenia,ARM
Australie,Australia,Australia,AUS
Autriche,Austria,Austria,AUT
Azerbaïdjan,Azerbaijan,Azerbaiyán,AZE
Bahreïn,Bahrain,Baréin,BHR
Bangladesh,Bangladesh,Bangladés,BGD
Bélarus,Belarus,Bielorrusia,BLR
Belgique,Belgium,Bélgica,BEL
Bélize,Belize,Belice,BLZ
Bénin,Benin,Benín,BEN
Bhoutan,Bhutan,Bután,BTN
Birmanie,Myanmar,Birmania,MMR
Bolivie,Bolivia,Bolivia,BOL
Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,BIH
Botswana,Botswana,Botsuana,BWA
Brésil,Brazil,Brasil,BRA
Brunei,Brunei Darussalam,Brunéi,BRN
Bulgarie,Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,Burundi,BDI
Cambodge,Cambodia,Camboya,KHM
Cameroun,Cameroon,Camerún,CMR
Canada,Canada,Canadá,CAN
Cap-Vert,Cape Verde,Cabo Verde,CPV
Chili,Chile,Chile,CHL
Chine,China,China,CHN
Chypre,Cyprus,Chipre,CYP
Chypre (partie Nord),Cyprus North,Chipre Norte,NCYP
Colombie,Colombia,Colombia,COL
Comores,Comoros,Comoras,COM
Congo,Republic of the Congo,República del Congo,COG
Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,PRK
Corée du Sud,Republic of Korea,Corea del Sur,KOR
Costa Rica,Costa Rica,Costa Rica,CRI
Côte d'Ivoire,Côte d'Ivoire,Costa de Marfil,CIV
Croatie,Croatia,Croacia,HRV
Cuba,Cuba,Cuba,CUB
Danemark,Denmark,Dinamarca,DNK
Djibouti,Djibouti,Yibuti,DJI
Égypte,Egypt,Egipto,EGY
Salvador,El Salvador,El Salvador,SLV
Émirats arabes unis,United Arab Emirates,Emiratos Árabes Unidos,ARE
Équateur,Ecuador,Ecuador,ECU
Érythrée,Eritrea,Eritrea,ERI
Espagne,Spain,España,ESP
Estonie,Estonia,Estonia,EST
États-Unis,United States,Estados Unidos,USA
Éthiopie,Ethiopia,Etiopía,ETH
Fidji,Fiji,Fiyi,FJI
Finlande,Finland,Finlandia,FIN
France,France,Francia,FRA
Gabon,Gabon,República Gabonesa,GAB
Gambie,Gambia,Gambia,GMB
Géorgie,Georgia,Georgia,GEO
Ghana,Ghana,Ghana,GHA
Grèce,Greece,Grecia,GRC
Guatemala,Guatemala,Guatemala,GTM
Guinée,Guinea,Guinea,GIN
Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,GNQ
Guinée-Bissau,Guinea-Bissau,Guinea-Bisáu,GNB
Guyana,Guyana,Guyana,GUY
Haïti,Haiti,Haití,HTI
Honduras,Honduras,Honduras,HND
Hong-Kong,Hong Kong,Hong Kong,HKG
Hongrie,Hungary,Hungría,HUN
Inde,India,India,IND
Indonésie,Indonesia,Indonesia,IDN
Irak,Iraq,Irak,IRQ
